,action_type,combined_shot_type,loc_x,loc_y,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_name,matchup,opponent,year
33,Jump Shot,Jump Shot,49,15,8,3,0,2000-01,29,5,Miss,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL @ VAN,VAN,2000
34,Layup Shot,Layup,-4,4,3,3,0,2000-01,21,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL @ VAN,VAN,2000
35,Reverse Dunk Shot,Dunk,-4,4,2,3,0,2000-01,55,0,Miss,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL @ VAN,VAN,2000
36,Slam Dunk Shot,Dunk,1,9,2,3,0,2000-01,38,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL @ VAN,VAN,2000
37,Jump Shot,Jump Shot,121,120,4,4,0,2000-01,55,17,Hit,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ VAN,VAN,2000
38,Layup Shot,Layup,1,9,1,4,0,2000-01,8,0,Miss,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL @ VAN,VAN,2000
39,Layup Shot,Layup,-12,9,1,4,0,2000-01,6,1,Miss,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL @ VAN,VAN,2000
40,Jump Shot,Jump Shot,24,70,10,1,0,2000-01,33,7,Miss,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL vs. LAC,LAC,2000
41,Jump Shot,Jump Shot,-189,-4,10,1,0,2000-01,4,18,Miss,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. LAC,LAC,2000
42,Jump Shot,Jump Shot,-155,194,2,1,0,2000-01,33,24,Miss,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL vs. LAC,LAC,2000
43,Jump Shot,Jump Shot,1,228,11,2,0,2000-01,26,22,Hit,3PT Field Goal,Center(C),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. LAC,LAC,2000
44,Driving Layup Shot,Layup,0,0,8,2,0,2000-01,40,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. LAC,LAC,2000
45,Slam Dunk Shot,Dunk,0,0,4,2,0,2000-01,5,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. LAC,LAC,2000
46,Jump Shot,Jump Shot,-33,108,2,2,0,2000-01,2,11,Miss,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,Los Angeles Lakers,LAL vs. LAC,LAC,2000
47,Layup Shot,Layup,22,49,0,2,0,2000-01,47,5,Hit,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL vs. LAC,LAC,2000
48,Driving Layup Shot,Layup,0,0,9,3,0,2000-01,32,0,Miss,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. LAC,LAC,2000
49,Driving Layup Shot,Layup,56,21,0,3,0,2000-01,37,5,Miss,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL vs. LAC,LAC,2000
50,Running Jump Shot,Jump Shot,121,26,0,3,0,2000-01,1,12,Hit,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL vs. LAC,LAC,2000
51,Jump Shot,Jump Shot,231,57,8,1,0,2000-01,17,23,Miss,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,Los Angeles Lakers,LAL @ HOU,HOU,2000
52,Driving Layup Shot,Layup,0,0,7,1,0,2000-01,53,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL @ HOU,HOU,2000
53,Driving Dunk Shot,Dunk,0,0,7,1,0,2000-01,1,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL @ HOU,HOU,2000
54,Jump Shot,Jump Shot,7,257,3,1,0,2000-01,11,25,Hit,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL @ HOU,HOU,2000
55,Driving Layup Shot,Layup,0,0,7,2,0,2000-01,56,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL @ HOU,HOU,2000
56,Jump Shot,Jump Shot,51,57,2,2,0,2000-01,40,7,Miss,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL @ HOU,HOU,2000
57,Jump Shot,Jump Shot,167,190,0,2,0,2000-01,10,25,Miss,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL @ HOU,HOU,2000
58,Jump Shot,Jump Shot,-119,190,11,3,0,2000-01,2,22,Hit,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ HOU,HOU,2000
59,Jump Shot,Jump Shot,16,57,9,3,0,2000-01,10,5,Miss,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL @ HOU,HOU,2000
60,Jump Shot,Jump Shot,-84,110,7,3,0,2000-01,24,13,Miss,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL @ HOU,HOU,2000
61,Jump Shot,Jump Shot,-71,42,0,3,0,2000-01,1,8,Miss,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,Los Angeles Lakers,LAL @ HOU,HOU,2000
62,Jump Shot,Jump Shot,30,133,5,4,0,2000-01,1,13,Hit,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,Los Angeles Lakers,LAL @ HOU,HOU,2000
63,Jump Shot,Jump Shot,1,156,0,4,0,2000-01,46,15,Miss,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL @ HOU,HOU,2000
64,Jump Shot,Jump Shot,132,211,11,1,0,2000-01,41,24,Miss,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL @ SAS,SAS,2000
65,Slam Dunk Shot,Dunk,-8,4,10,1,0,2000-01,59,0,Miss,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL @ SAS,SAS,2000
66,Jump Shot,Jump Shot,132,127,6,1,0,2000-01,36,18,Hit,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ SAS,SAS,2000
67,Jump Shot,Jump Shot,-29,188,5,1,0,2000-01,54,19,Hit,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ SAS,SAS,2000
68,Jump Shot,Jump Shot,140,76,2,1,0,2000-01,24,15,Hit,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL @ SAS,SAS,2000
69,Turnaround Jump Shot,Jump Shot,140,0,1,1,0,2000-01,48,14,Hit,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL @ SAS,SAS,2000
70,Jump Shot,Jump Shot,-1,156,1,1,0,2000-01,25,15,Hit,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL @ SAS,SAS,2000
71,Jump Shot,Jump Shot,-151,4,0,1,0,2000-01,47,15,Hit,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL @ SAS,SAS,2000
72,Jump Shot,Jump Shot,110,76,10,2,0,2000-01,57,13,Miss,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL @ SAS,SAS,2000
73,Jump Shot,Jump Shot,132,87,9,2,0,2000-01,37,15,Miss,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL @ SAS,SAS,2000
74,Jump Shot,Jump Shot,-58,251,3,2,0,2000-01,50,25,Hit,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL @ SAS,SAS,2000
75,Jump Shot,Jump Shot,-94,160,3,2,0,2000-01,15,18,Hit,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ SAS,SAS,2000
76,Jump Shot,Jump Shot,-193,150,0,2,0,2000-01,53,24,Miss,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL @ SAS,SAS,2000
77,Jump Shot,Jump Shot,140,0,0,2,0,2000-01,48,14,Hit,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL @ SAS,SAS,2000
78,Jump Shot,Jump Shot,39,9,11,3,0,2000-01,26,4,Miss,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL @ SAS,SAS,2000
79,Jump Shot,Jump Shot,24,150,9,3,0,2000-01,20,15,Miss,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL @ SAS,SAS,2000
80,Slam Dunk Shot,Dunk,-1,0,7,3,0,2000-01,53,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL @ SAS,SAS,2000
81,Jump Shot,Jump Shot,119,133,6,3,0,2000-01,40,17,Hit,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ SAS,SAS,2000
82,Jump Shot,Jump Shot,119,19,3,3,0,2000-01,0,12,Miss,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL @ SAS,SAS,2000
83,Jump Shot,Jump Shot,-193,42,0,3,0,2000-01,48,19,Miss,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ SAS,SAS,2000
84,Jump Shot,Jump Shot,-166,55,0,3,0,2000-01,21,17,Miss,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ SAS,SAS,2000
85,Jump Shot,Jump Shot,24,116,10,4,0,2000-01,39,11,Miss,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,Los Angeles Lakers,LAL @ SAS,SAS,2000
86,Jump Shot,Jump Shot,-65,156,7,4,0,2000-01,8,16,Miss,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ SAS,SAS,2000
87,Turnaround Jump Shot,Jump Shot,-166,26,6,4,0,2000-01,25,16,Hit,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ SAS,SAS,2000
88,Jump Shot,Jump Shot,-58,76,5,4,0,2000-01,14,9,Miss,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,Los Angeles Lakers,LAL @ SAS,SAS,2000
89,Jump Shot,Jump Shot,-37,70,3,4,0,2000-01,38,7,Miss,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL @ SAS,SAS,2000
90,Jump Shot,Jump Shot,-94,188,11,1,0,2000-01,9,21,Miss,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2000
91,Driving Layup Shot,Layup,0,0,10,1,0,2000-01,17,0,Miss,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2000
92,Reverse Layup Shot,Layup,0,0,9,1,0,2000-01,23,0,Miss,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2000
93,Tip Shot,Tip Shot,0,0,9,1,0,2000-01,21,0,Miss,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2000
94,Slam Dunk Shot,Dunk,0,0,3,1,0,2000-01,2,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2000
95,Driving Layup Shot,Layup,0,0,0,1,0,2000-01,44,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2000
96,Jump Shot,Jump Shot,85,141,0,1,0,2000-01,21,16,Miss,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2000
97,Jump Shot,Jump Shot,-88,158,8,2,0,2000-01,50,18,Hit,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2000
98,Driving Dunk Shot,Dunk,0,0,8,2,0,2000-01,18,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2000
99,Running Hook Shot,Hook Shot,0,0,0,2,0,2000-01,30,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2000
100,Jump Shot,Jump Shot,1,276,0,2,0,2000-01,4,27,Hit,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2000
101,Jump Shot,Jump Shot,155,-8,8,3,0,2000-01,38,15,Hit,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2000
102,Jump Shot,Jump Shot,-155,13,5,3,0,2000-01,18,15,Hit,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2000
103,Jump Shot,Jump Shot,-84,133,4,3,0,2000-01,34,15,Miss,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2000
104,Jump Shot,Jump Shot,-178,-8,3,3,0,2000-01,51,17,Miss,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2000
105,Jump Shot,Jump Shot,16,89,3,3,0,2000-01,40,9,Miss,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2000
106,Jump Shot,Jump Shot,-48,106,3,3,0,2000-01,33,11,Hit,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2000
107,Jump Shot,Jump Shot,-170,13,2,3,0,2000-01,5,17,Miss,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2000
108,Jump Shot,Jump Shot,-119,133,0,3,0,2000-01,14,17,Miss,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2000
109,Jump Shot,Jump Shot,9,40,10,4,0,2000-01,52,4,Miss,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2000
110,Jump Shot,Jump Shot,-84,82,6,4,0,2000-01,34,11,Miss,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2000
111,Jump Shot,Jump Shot,9,59,4,4,0,2000-01,57,5,Miss,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2000
112,Driving Dunk Shot,Dunk,0,0,3,4,0,2000-01,28,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2000
113,Running Jump Shot,Jump Shot,9,59,1,4,0,2000-01,38,5,Hit,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2000
114,Tip Shot,Tip Shot,0,0,1,4,0,2000-01,3,0,Miss,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. HOU,HOU,2000
115,Driving Layup Shot,Layup,0,0,7,1,0,2000-01,43,0,Miss,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. DEN,DEN,2000
116,Alley Oop Dunk Shot,Dunk,0,0,3,1,0,2000-01,8,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. DEN,DEN,2000
117,Jump Shot,Jump Shot,129,-4,2,1,0,2000-01,25,12,Hit,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL vs. DEN,DEN,2000
118,Jump Shot,Jump Shot,-98,97,0,1,0,2000-01,48,13,Hit,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,Los Angeles Lakers,LAL vs. DEN,DEN,2000
119,Jump Shot,Jump Shot,167,78,11,2,0,2000-01,16,18,Miss,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. DEN,DEN,2000
120,Jump Shot,Jump Shot,108,249,10,2,0,2000-01,19,27,Miss,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL vs. DEN,DEN,2000
121,Running Jump Shot,Jump Shot,100,175,9,2,0,2000-01,7,20,Hit,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. DEN,DEN,2000
122,Layup Shot,Layup,0,0,1,2,0,2000-01,54,0,Miss,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. DEN,DEN,2000
123,Driving Layup Shot,Layup,0,0,0,2,0,2000-01,28,0,Miss,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. DEN,DEN,2000
124,Jump Shot,Jump Shot,115,169,10,3,0,2000-01,23,20,Miss,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL vs. DEN,DEN,2000
125,Jump Shot,Jump Shot,1,72,5,3,0,2000-01,23,7,Miss,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL vs. DEN,DEN,2000
126,Driving Dunk Shot,Dunk,0,0,0,3,0,2000-01,37,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. DEN,DEN,2000
127,Jump Shot,Jump Shot,113,230,11,4,0,2000-01,43,25,Hit,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,Los Angeles Lakers,LAL vs. DEN,DEN,2000
128,Layup Shot,Layup,0,0,10,4,0,2000-01,28,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. DEN,DEN,2000
129,Slam Dunk Shot,Dunk,0,0,10,4,0,2000-01,11,0,Hit,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. DEN,DEN,2000
130,Layup Shot,Layup,0,0,5,4,0,2000-01,37,0,Miss,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL vs. DEN,DEN,2000
131,Jump Shot,Jump Shot,98,194,11,1,0,2000-01,42,21,Hit,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ SAC,SAC,2000
132,Jump Shot,Jump Shot,-117,184,11,1,0,2000-01,7,21,Miss,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ SAC,SAC,2000
133,Jump Shot,Jump Shot,-168,-2,8,1,0,2000-01,53,16,Miss,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ SAC,SAC,2000
134,Jump Shot,Jump Shot,70,36,8,1,0,2000-01,16,7,Miss,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL @ SAC,SAC,2000
135,Driving Layup Shot,Layup,0,0,7,1,0,2000-01,43,0,Miss,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Los Angeles Lakers,LAL @ SAC,SAC,2000
136,Jump Shot,Jump Shot,-37,42,2,1,0,2000-01,47,5,Hit,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Los Angeles Lakers,LAL @ SAC,SAC,2000
137,Jump Shot,Jump Shot,163,116,1,1,0,2000-01,5,20,Miss,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,Los Angeles Lakers,LAL @ SAC,SAC,2000
